"","gsm","gse","gsm_title","platform","blood.subgroup","predsex","predage","predcell.CD8T","predcell.CD4T","predcell.NK","predcell.Bcell","predcell.Mono","predcell.Gran","glint.epi.pc1","glint.epi.pc2"
"GSM3440538.1607013450.hlink.GSM3440538_6929793024_R04C01","GSM3440538","GSE121633","ERC45KI2661 genomic DNA from whole blood","hm450k","whole_blood","F",74.161,"0","0.197","0.112","0.049","0.076","0.576",26.91572,3.071632
"GSM3440539.1607013450.hlink.GSM3440539_6929793024_R05C01","GSM3440539","GSE121633","ERC45KI2662 genomic DNA from whole blood","hm450k","whole_blood","F",69.887,"0.062","0.215","0.051","0.059","0.081","0.557",22.87747,7.2186
"GSM3440540.1607013450.hlink.GSM3440540_6929806056_R02C02","GSM3440540","GSE121633","ERC45KI2691 genomic DNA from whole blood","hm450k","whole_blood","F",70.47,"0.086","0.119","0.093","0.05","0.073","0.605",26.85934,5.127414
"GSM3440541.1607013450.hlink.GSM3440541_6929742055_R05C02","GSM3440541","GSE121633","ERC45KI2692 genomic DNA from whole blood","hm450k","whole_blood","F",58.625,"0.035","0.133","0.055","0.039","0.095","0.649",-4.377332,-8.403457
"GSM3440542.1607013450.hlink.GSM3440542_6929742080_R02C01","GSM3440542","GSE121633","ERC45KI2701 genomic DNA from whole blood","hm450k","whole_blood","F",49.256,"0.082","0.154","0.075","0.027","0.086","0.56",-8.96422,6.606492
"GSM3440543.1607013450.hlink.GSM3440543_6929742080_R03C01","GSM3440543","GSE121633","ERC45KI2702 genomic DNA from whole blood","hm450k","whole_blood","F",51.539,"0.049","0.109","0.03","0.026","0.099","0.675",-7.074331,-0.1252803
"GSM3440544.1607013450.hlink.GSM3440544_6929742002_R01C02","GSM3440544","GSE121633","ERC45KI2712 genomic DNA from whole blood","hm450k","whole_blood","F",60.559,"0.01","0.17","0.041","0.048","0.121","0.611",-12.40028,-1.893697
"GSM3440545.1607013450.hlink.GSM3440545_6929742023_R03C02","GSM3440545","GSE121633","ERC45KI2721 genomic DNA from whole blood","hm450k","whole_blood","F",66.71,"0","0.21","0.07","0.054","0.069","0.597",-13.99485,-6.46067
"GSM3440546.1607013450.hlink.GSM3440546_6929742027_R01C02","GSM3440546","GSE121633","ERC45KI2732 genomic DNA from whole blood","hm450k","whole_blood","F",65.164,"0.045","0.204","0.105","0.018","0.086","0.53",-10.54857,-0.7790604
"GSM3440547.1607013450.hlink.GSM3440547_6929793111_R02C01","GSM3440547","GSE121633","ERC45KI2741 genomic DNA from whole blood","hm450k","whole_blood","F",60.674,"0.049","0.213","0.083","0.063","0.071","0.536",4.835534,2.487466
